date,matchup,was,now,reason
Oct 03,08BJunior02 vs 08BJunior08,10:05 AM Maplewood Back Field 5,10:15 AM Maplewood Back Field 5,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 03,08BJunior03 vs 08BJunior07,11:10 AM Maplewood Back Field 5,11:30 AM Maplewood Back Field 5,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 03,07BJunior06 vs 07BJunior12,10:05 AM Maplewood Back Field 6,10:15 AM Maplewood Back Field 6,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 03,08GJunior08 vs 08GJunior05,11:10 AM Maplewood Back Field 6,11:30 AM Maplewood Back Field 6,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 03,07BJunior07 vs 07BJunior11,10:05 AM Maplewood Back Field 7,10:15 AM Maplewood Back Field 7,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 10,16GSelect01 vs Home Club - U16G Harbour,(not previously scheduled),8:00 AM Alder Park Soccer 2,Regional League Select fixture
Oct 10,16BSelect01 vs Home Club - U16B Draper,(not previously scheduled),10:00 AM Alder Park Soccer 2,Regional League Select fixture
Oct 10,19BSelect01 vs Visiting Club B - U19 Pylon,(not previously scheduled),11:50 AM Alder Park Soccer 2,Regional League Select fixture
Oct 10,19GSelect01 vs Pleasanton Rage Pleasanton RAGE Vipers,(not previously scheduled),1:55 PM Alder Park Soccer 2,Regional League Select fixture
Oct 10,14BSelect03 vs Visiting Club B - U14 Quartz,(not previously scheduled),8:00 AM Alder Park Soccer 3,Regional League Select fixture
Oct 10,14BSelect04 vs Visiting Club D - U14B Quarry2,(not previously scheduled),9:40 AM Alder Park Soccer 3,Regional League Select fixture
Oct 10,14BSelect05 vs Visiting Club A - U14B Kilo2,(not previously scheduled),11:20 AM Alder Park Soccer 3,Regional League Select fixture
Oct 10,14GSelect02 vs Pleasanton Rage Pleasanton RAGE Shock,(not previously scheduled),1:00 PM Alder Park Soccer 3,Regional League Select fixture
Oct 10,14GSelect03 vs San Ramon FC San Ramon FC U14G Comets,(not previously scheduled),2:40 PM Alder Park Soccer 3,Regional League Select fixture
Oct 17,14BSelect02 vs San Ramon FC San Ramon FC U14B Strikers,(not previously scheduled),8:00 AM Alder Park Soccer 3,Regional League Select fixture
Oct 17,14GSelect01 vs Visiting Club D - U14G Quartz2,(not previously scheduled),9:40 AM Alder Park Soccer 3,Regional League Select fixture
Oct 17,16BSuperRec02 vs Visiting Club B - U16 Tango,(not previously scheduled),11:20 AM Alder Park Soccer 3,Regional League Select fixture
Oct 17,19BSelect01 vs San Ramon FC San Ramon FC U19B Independence,(not previously scheduled),1:10 PM Alder Park Soccer 3,Regional League Select fixture
Oct 17,19GSelect01 vs Visiting Club A - U19G Bravo2,(not previously scheduled),3:15 PM Alder Park Soccer 3,Regional League Select fixture
Oct 17,07GJunior01 vs 07GJunior02,11:10 AM Maplewood Back Field 1,12:15 PM Maplewood Back Field 1,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,07GJunior05 vs 07GJunior06,11:10 AM Maplewood Back Field 4,1:30 PM Maplewood Back Field 1,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,07BJunior01 vs 07BJunior08,11:10 AM Maplewood Back Field 7,12:15 PM Maplewood Back Field 2,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,07BJunior09 vs 07BJunior07,10:05 AM Maplewood Back Field 4,4:00 PM Maplewood Back Field 2,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,08GJunior03 vs 08GJunior08,9:00 AM Maplewood Back Field 4,12:15 PM Maplewood Back Field 3,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,08BJunior06 vs 08BJunior02,9:00 AM Maplewood Back Field 6,1:30 PM Maplewood Back Field 3,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,08BJunior05 vs 08BJunior03,9:00 AM Maplewood Back Field 3,2:45 PM Maplewood Back Field 3,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,08BJunior08 vs 08BJunior09,9:00 AM Maplewood Back Field 7,1:30 PM Maplewood Back Field 4,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,07BJunior13 vs 07BJunior03,10:05 AM Maplewood Back Field 7,2:45 PM Maplewood Back Field 4,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,08BJunior01 vs 08BJunior04,10:05 AM Maplewood Back Field 1,4:00 PM Maplewood Back Field 4,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,08BJunior07 vs 08BJunior10,10:05 AM Maplewood Back Field 6,12:15 PM Maplewood Back Field 5,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,07BJunior12 vs 07BJunior04,10:05 AM Maplewood Back Field 5,2:45 PM Maplewood Back Field 5,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,07GJunior04 vs 07GJunior07,9:00 AM Maplewood Back Field 2,4:00 PM Maplewood Back Field 5,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,08GJunior04 vs 08GJunior07,11:10 AM Maplewood Back Field 5,12:15 PM Maplewood Back Field 6,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,07BJunior10 vs 07BJunior06,11:10 AM Maplewood Back Field 3,2:45 PM Maplewood Back Field 6,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,07BJunior11 vs 07BJunior05,11:10 AM Maplewood Back Field 6,4:00 PM Maplewood Back Field 6,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,07BJunior14 vs 07BJunior02,11:10 AM Maplewood Back Field 2,12:15 PM Maplewood Back Field 7,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,07GJunior03 vs 07GJunior08,10:05 AM Maplewood Back Field 3,1:30 PM Maplewood Back Field 7,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,08GJunior05 vs 08GJunior06,10:05 AM Maplewood Back Field 2,2:45 PM Maplewood Back Field 7,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 17,08GJunior01 vs 08GJunior02,9:00 AM Maplewood Back Field 5,4:00 PM Maplewood Back Field 7,10/17 Gardening Day - Maplewood 1-7 closed until noon
Oct 24,14GSelect03 vs Visiting Club C - U14G Tango2,(not previously scheduled),8:00 AM Alder Park Soccer 2,Regional League Select fixture
Oct 24,19BSelect01 vs Visiting Club D - U19B Zenith,(not previously scheduled),3:45 PM Alder Park Soccer 2,Regional League Select fixture
Oct 24,14BSelect03 vs Visiting Club C - U14B Ridge,(not previously scheduled),8:00 AM Alder Park Soccer 3,Regional League Select fixture
Oct 24,16GSelect02 vs Visiting Club D - U16G Echo2,(not previously scheduled),9:40 AM Alder Park Soccer 3,Regional League Select fixture
Oct 24,14BSelect01 vs Home Club - U14B Beacon2,(not previously scheduled),12:10 PM Alder Park Soccer 3,Regional League Select fixture
Oct 24,14GSelect02 vs Home Club - U14G East2,(not previously scheduled),1:50 PM Alder Park Soccer 3,Regional League Select fixture
Oct 24,14BSelect05 vs Visiting Club C - U14B Mesa2,(not previously scheduled),3:30 PM Alder Park Soccer 3,Regional League Select fixture
Oct 24,08BJunior08 vs 08BJunior07,9:00 AM Maplewood Back Field 7,9:00 AM Maplewood Back Field 1,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,08GJunior06 vs 08GJunior03,10:05 AM Maplewood Back Field 1,10:15 AM Maplewood Back Field 1,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,08GJunior08 vs 08GJunior01,10:05 AM Maplewood Back Field 2,11:30 AM Maplewood Back Field 1,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,08BJunior10 vs 08BJunior05,11:10 AM Maplewood Back Field 7,9:00 AM Maplewood Back Field 2,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,07BJunior04 vs 07BJunior10,11:10 AM Maplewood Back Field 2,10:15 AM Maplewood Back Field 2,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,07BJunior02 vs 07BJunior12,11:10 AM Maplewood Back Field 6,11:30 AM Maplewood Back Field 2,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,07BJunior05 vs 07BJunior09,11:10 AM Maplewood Back Field 3,9:00 AM Maplewood Back Field 3,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,08BJunior09 vs 08BJunior06,10:05 AM Maplewood Back Field 3,10:15 AM Maplewood Back Field 3,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,08GJunior05 vs 08GJunior04,11:10 AM Maplewood Back Field 4,11:30 AM Maplewood Back Field 3,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,07BJunior14 vs 07BJunior13,10:05 AM Maplewood Back Field 4,9:00 AM Maplewood Back Field 4,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,08GJunior07 vs 08GJunior02,10:05 AM Maplewood Back Field 5,10:15 AM Maplewood Back Field 4,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,07GJunior08 vs 07GJunior01,9:00 AM Maplewood Back Field 3,11:30 AM Maplewood Back Field 4,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,07BJunior03 vs 07BJunior11,11:10 AM Maplewood Back Field 1,9:00 AM Maplewood Back Field 5,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,07GJunior06 vs 07GJunior03,9:00 AM Maplewood Back Field 5,10:15 AM Maplewood Back Field 5,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,08BJunior02 vs 08BJunior04,9:00 AM Maplewood Back Field 2,9:00 AM Maplewood Back Field 6,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,07GJunior05 vs 07GJunior04,10:05 AM Maplewood Back Field 7,10:15 AM Maplewood Back Field 6,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,07BJunior07 vs 07BJunior01,9:00 AM Maplewood Back Field 1,11:30 AM Maplewood Back Field 6,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,07BJunior06 vs 07BJunior08,9:00 AM Maplewood Back Field 4,9:00 AM Maplewood Back Field 7,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,07GJunior07 vs 07GJunior02,9:00 AM Maplewood Back Field 6,10:15 AM Maplewood Back Field 7,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,08BJunior03 vs 08BJunior01,10:05 AM Maplewood Back Field 6,11:30 AM Maplewood Back Field 7,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 24,19GSelect01 vs Visiting Club C - U19G Echo,(not previously scheduled),2:00 PM Willowmead Park Turf,Regional League Select fixture
Oct 31,07BJunior01 vs 07BJunior06,10:05 AM Maplewood Back Field 1,10:15 AM Maplewood Back Field 1,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 31,07GJunior08 vs 07GJunior06,11:10 AM Maplewood Back Field 1,11:30 AM Maplewood Back Field 1,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 31,08BJunior05 vs 08BJunior08,10:05 AM Maplewood Back Field 2,10:15 AM Maplewood Back Field 2,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 31,08GJunior02 vs 08GJunior05,11:10 AM Maplewood Back Field 2,11:30 AM Maplewood Back Field 2,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 31,07GJunior03 vs 07GJunior04,10:05 AM Maplewood Back Field 3,10:15 AM Maplewood Back Field 3,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 31,08BJunior01 vs 08BJunior02,11:10 AM Maplewood Back Field 3,11:30 AM Maplewood Back Field 3,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 31,08BJunior06 vs 08BJunior07,10:05 AM Maplewood Back Field 4,10:15 AM Maplewood Back Field 4,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 31,07BJunior12 vs 07BJunior13,11:10 AM Maplewood Back Field 4,11:30 AM Maplewood Back Field 4,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 31,07BJunior07 vs 07BJunior05,10:05 AM Maplewood Back Field 5,10:15 AM Maplewood Back Field 5,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 31,08BJunior04 vs 08BJunior09,11:10 AM Maplewood Back Field 5,11:30 AM Maplewood Back Field 5,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 31,07GJunior01 vs 07GJunior07,10:05 AM Maplewood Back Field 6,10:15 AM Maplewood Back Field 6,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 31,08BJunior03 vs 08BJunior10,11:10 AM Maplewood Back Field 6,11:30 AM Maplewood Back Field 6,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 31,08GJunior03 vs 08GJunior04,10:05 AM Maplewood Back Field 7,10:15 AM Maplewood Back Field 7,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 31,08GJunior01 vs 08GJunior07,11:10 AM Maplewood Back Field 7,11:30 AM Maplewood Back Field 7,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Nov 07,16BSuperRec02 vs San Ramon FC San Ramon FC U16B Outlaws,(not previously scheduled),8:00 AM Alder Park Soccer 3,Regional League Select fixture
Nov 07,16GSelect01 vs Visiting Club C - U16G Crest,(not previously scheduled),9:50 AM Alder Park Soccer 3,Regional League Select fixture
Nov 07,14BSelect02 vs Visiting Club A - U14B Lantern,(not previously scheduled),11:40 AM Alder Park Soccer 3,Regional League Select fixture
Nov 07,14BSelect04 vs Home Club - U14B Delta2,(not previously scheduled),1:20 PM Alder Park Soccer 3,Regional League Select fixture
Nov 08 (Sun),16BSelect01 vs Visiting Club B - U16 Lantern2,(not previously scheduled),9:00 AM Alder Park Soccer 3,Regional League Select fixture
